"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikovane_hodnoty","predikce_lower","predikce_upper"
"253",2024-01-11 13:00:00,"historie",40.77,17.6272490339011,NA,NA,NA
"254",2024-01-11 14:00:00,"historie",42.87,17.4888788221931,NA,NA,NA
"255",2024-01-11 15:00:00,"historie",48.57,20.6174733958625,NA,NA,NA
"256",2024-01-11 16:00:00,"historie",55.7,17.541987733836,NA,NA,NA
"257",2024-01-11 17:00:00,"historie",40.38,14.2632219620329,NA,NA,NA
"258",2024-01-11 18:00:00,"historie",38.96,20.1371629704543,NA,NA,NA
"259",2024-01-11 19:00:00,"historie",23.85,35.5651557988631,NA,NA,NA
"260",2024-01-11 20:00:00,"historie",20.91,24.1954033371554,NA,NA,NA
"261",2024-01-11 21:00:00,"historie",20.16,24.1347370260229,NA,NA,NA
"262",2024-01-11 22:00:00,"historie",21.71,22.5307956495089,NA,NA,NA
"263",2024-01-11 23:00:00,"historie",22.26,23.8227106514287,NA,NA,NA
"264",2024-01-12,"historie",19.47,20.3156849397047,NA,NA,NA
"265",2024-01-12 01:00:00,"historie",14.29,26.7558249955983,NA,NA,NA
"266",2024-01-12 02:00:00,"historie",16.89,28.3594305418462,NA,NA,NA
"267",2024-01-12 03:00:00,"historie",14.61,33.5882306592458,NA,NA,NA
"268",2024-01-12 04:00:00,"historie",17.44,35.5708125795845,NA,NA,NA
"269",2024-01-12 05:00:00,"historie",19.84,48.9227223705375,NA,NA,NA
"270",2024-01-12 06:00:00,"historie",14.38,36.8912290035119,NA,NA,NA
"271",2024-01-12 07:00:00,"historie",15.82,33.7268360388234,NA,NA,NA
"272",2024-01-12 08:00:00,"historie",11.48,31.0161568427725,NA,NA,NA
"273",2024-01-12 09:00:00,"historie",19.83,19.9716532904001,NA,NA,NA
"274",2024-01-12 10:00:00,"historie",17.2,18.3541935086063,NA,NA,NA
"275",2024-01-12 11:00:00,"historie",14.32,18.7376876860778,NA,NA,NA
